feature,importance
NAME_CONTRACT_TYPE,23.500000000000004
FLAG_OWN_CAR,36.8
FLAG_OWN_REALTY,1.6000000000000003
CNT_CHILDREN,3.3000000000000003
AMT_INCOME_TOTAL,33.2
AMT_CREDIT,123.69999999999999
AMT_ANNUITY,201.1
AMT_GOODS_PRICE,153.4
REGION_POPULATION_RELATIVE,77.9
DAYS_BIRTH,221.6
DAYS_EMPLOYED,156.3
DAYS_REGISTRATION,99.2
DAYS_ID_PUBLISH,136.0
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.6
FLAG_WORK_PHONE,31.0
FLAG_CONT_MOBILE,0.1
FLAG_PHONE,3.3
FLAG_EMAIL,1.9000000000000001
CNT_FAM_MEMBERS,6.000000000000001
REGION_RATING_CLIENT,5.199999999999999
REGION_RATING_CLIENT_W_CITY,36.199999999999996
HOUR_APPR_PROCESS_START,28.5
REG_REGION_NOT_LIVE_REGION,0.7
REG_REGION_NOT_WORK_REGION,1.1000000000000003
LIVE_REGION_NOT_WORK_REGION,1.1
REG_CITY_NOT_LIVE_CITY,22.200000000000003
REG_CITY_NOT_WORK_CITY,2.3000000000000003
LIVE_CITY_NOT_WORK_CITY,1.2000000000000002
EXT_SOURCE_1,375.8
EXT_SOURCE_2,317.8
EXT_SOURCE_3,275.29999999999995
APARTMENTS_AVG,17.0
BASEMENTAREA_AVG,13.6
YEARS_BEGINEXPLUATATION_AVG,23.6
ELEVATORS_AVG,6.400000000000001
ENTRANCES_AVG,11.799999999999999
FLOORSMAX_AVG,13.799999999999999
LANDAREA_AVG,15.899999999999997
LIVINGAREA_AVG,13.100000000000001
NONLIVINGAREA_AVG,15.500000000000002
APARTMENTS_MODE,20.300000000000004
BASEMENTAREA_MODE,16.9
YEARS_BEGINEXPLUATATION_MODE,28.4
ELEVATORS_MODE,5.000000000000001
ENTRANCES_MODE,8.2
FLOORSMAX_MODE,6.1
LANDAREA_MODE,13.699999999999998
LIVINGAREA_MODE,16.599999999999998
NONLIVINGAREA_MODE,13.600000000000001
APARTMENTS_MEDI,10.700000000000001
BASEMENTAREA_MEDI,10.0
YEARS_BEGINEXPLUATATION_MEDI,15.6
ELEVATORS_MEDI,2.9000000000000004
ENTRANCES_MEDI,7.1000000000000005
FLOORSMAX_MEDI,4.5
LANDAREA_MEDI,9.5
LIVINGAREA_MEDI,10.9
NONLIVINGAREA_MEDI,12.500000000000002
TOTALAREA_MODE,23.700000000000003
OBS_30_CNT_SOCIAL_CIRCLE,6.199999999999998
DEF_30_CNT_SOCIAL_CIRCLE,30.400000000000002
OBS_60_CNT_SOCIAL_CIRCLE,9.799999999999999
DEF_60_CNT_SOCIAL_CIRCLE,23.7
DAYS_LAST_PHONE_CHANGE,97.10000000000001
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,26.900000000000006
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.1
FLAG_DOCUMENT_6,1.3
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,1.3000000000000003
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,4.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,10.700000000000001
FLAG_DOCUMENT_14,2.5
FLAG_DOCUMENT_15,0.7999999999999999
FLAG_DOCUMENT_16,16.4
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,18.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.30000000000000004
AMT_REQ_CREDIT_BUREAU_DAY,2.4
AMT_REQ_CREDIT_BUREAU_WEEK,6.1
AMT_REQ_CREDIT_BUREAU_MON,7.6000000000000005
