feature,importance
NAME_CONTRACT_TYPE,75.5
FLAG_OWN_CAR,86.2
FLAG_OWN_REALTY,50.4
CNT_CHILDREN,81.7
AMT_INCOME_TOTAL,58.8
AMT_CREDIT,127.1
AMT_ANNUITY,223.6
AMT_GOODS_PRICE,185.69999999999996
REGION_POPULATION_RELATIVE,136.70000000000002
DAYS_BIRTH,208.1
DAYS_EMPLOYED,174.79999999999998
DAYS_REGISTRATION,143.0
DAYS_ID_PUBLISH,177.5
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,16.8
FLAG_WORK_PHONE,135.90000000000003
FLAG_CONT_MOBILE,0.5
FLAG_PHONE,32.8
FLAG_EMAIL,4.800000000000001
CNT_FAM_MEMBERS,23.5
REGION_RATING_CLIENT,41.2
REGION_RATING_CLIENT_W_CITY,102.3
HOUR_APPR_PROCESS_START,74.2
REG_REGION_NOT_LIVE_REGION,0.1
REG_REGION_NOT_WORK_REGION,2.3000000000000003
LIVE_REGION_NOT_WORK_REGION,2.7
REG_CITY_NOT_LIVE_CITY,64.5
REG_CITY_NOT_WORK_CITY,55.6
LIVE_CITY_NOT_WORK_CITY,23.799999999999997
EXT_SOURCE_1,374.4
EXT_SOURCE_2,528.4000000000001
EXT_SOURCE_3,456.7
APARTMENTS_AVG,22.400000000000002
BASEMENTAREA_AVG,24.7
YEARS_BEGINEXPLUATATION_AVG,33.6
ELEVATORS_AVG,7.699999999999999
ENTRANCES_AVG,18.8
FLOORSMAX_AVG,12.1
LANDAREA_AVG,22.400000000000002
LIVINGAREA_AVG,19.799999999999997
NONLIVINGAREA_AVG,20.4
APARTMENTS_MODE,27.900000000000002
BASEMENTAREA_MODE,18.0
YEARS_BEGINEXPLUATATION_MODE,29.1
ELEVATORS_MODE,10.600000000000001
ENTRANCES_MODE,22.299999999999994
FLOORSMAX_MODE,24.2
LANDAREA_MODE,21.8
LIVINGAREA_MODE,27.3
NONLIVINGAREA_MODE,16.6
APARTMENTS_MEDI,13.3
BASEMENTAREA_MEDI,8.6
YEARS_BEGINEXPLUATATION_MEDI,25.599999999999998
ELEVATORS_MEDI,4.1000000000000005
ENTRANCES_MEDI,15.100000000000001
FLOORSMAX_MEDI,7.5
LANDAREA_MEDI,9.0
LIVINGAREA_MEDI,10.8
NONLIVINGAREA_MEDI,9.299999999999999
TOTALAREA_MODE,37.60000000000001
OBS_30_CNT_SOCIAL_CIRCLE,65.30000000000001
DEF_30_CNT_SOCIAL_CIRCLE,125.3
OBS_60_CNT_SOCIAL_CIRCLE,28.200000000000003
DEF_60_CNT_SOCIAL_CIRCLE,54.70000000000001
DAYS_LAST_PHONE_CHANGE,126.0
FLAG_DOCUMENT_2,2.5
FLAG_DOCUMENT_3,62.3
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,2.4
FLAG_DOCUMENT_6,9.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,2.9000000000000004
FLAG_DOCUMENT_9,1.0999999999999999
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,1.9
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,10.2
FLAG_DOCUMENT_14,3.0999999999999996
FLAG_DOCUMENT_15,0.4
FLAG_DOCUMENT_16,16.3
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,18.799999999999997
FLAG_DOCUMENT_19,0.1
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,1.9000000000000001
AMT_REQ_CREDIT_BUREAU_HOUR,4.4
AMT_REQ_CREDIT_BUREAU_DAY,4.6000000000000005
AMT_REQ_CREDIT_BUREAU_WEEK,6.6
AMT_REQ_CREDIT_BUREAU_MON,13.9
AMT_REQ_CREDIT_BUREAU_QRT,57.400000000000006
AMT_REQ_CREDIT_BUREAU_YEAR,32.5
CREDIT/INCOME,142.2
GOODS/CREDIT,248.5
BIRTH-EMPLOYED,141.79999999999998
FAMMEMB/INCOME,72.6
CLIENTREG/INCOME,44.1
CITYREG/INCOME,36.7
CODE_GENDER_F,191.4
CODE_GENDER_M,76.6
NAME_TYPE_SUITE_Children,2.5000000000000004
NAME_TYPE_SUITE_Family,5.6
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.1
NAME_TYPE_SUITE_Other_B,2.2
"NAME_TYPE_SUITE_Spouse, partner",2.3
NAME_TYPE_SUITE_Unaccompanied,32.4
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,33.5
NAME_INCOME_TYPE_Pensioner,12.200000000000001
NAME_INCOME_TYPE_State servant,3.6000000000000005
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,6.7
NAME_INCOME_TYPE_Working,58.0
NAME_EDUCATION_TYPE_Academic degree,3.8999999999999995
NAME_EDUCATION_TYPE_Higher education,65.99999999999999
NAME_EDUCATION_TYPE_Incomplete higher,1.4
NAME_EDUCATION_TYPE_Lower secondary,21.7
NAME_EDUCATION_TYPE_Secondary / secondary special,70.39999999999999
NAME_FAMILY_STATUS_Civil marriage,5.9
NAME_FAMILY_STATUS_Married,187.6
NAME_FAMILY_STATUS_Separated,6.5
NAME_FAMILY_STATUS_Single / not married,20.0
NAME_FAMILY_STATUS_Widow,4.800000000000001
NAME_HOUSING_TYPE_Co-op apartment,1.5
NAME_HOUSING_TYPE_House / apartment,37.00000000000001
NAME_HOUSING_TYPE_Municipal apartment,7.2
NAME_HOUSING_TYPE_Office apartment,7.199999999999999
NAME_HOUSING_TYPE_Rented apartment,2.9000000000000004
NAME_HOUSING_TYPE_With parents,5.7
OCCUPATION_TYPE_Accountants,15.2
OCCUPATION_TYPE_Cleaning staff,2.5999999999999996
OCCUPATION_TYPE_Cooking staff,2.3
OCCUPATION_TYPE_Core staff,28.9
OCCUPATION_TYPE_Drivers,39.300000000000004
OCCUPATION_TYPE_HR staff,1.0
OCCUPATION_TYPE_High skill tech staff,13.1
OCCUPATION_TYPE_IT staff,0.2
OCCUPATION_TYPE_Laborers,51.699999999999996
OCCUPATION_TYPE_Low-skill Laborers,3.8999999999999995
OCCUPATION_TYPE_Managers,3.4
OCCUPATION_TYPE_Medicine staff,11.2
OCCUPATION_TYPE_Not_Answered,14.899999999999999
OCCUPATION_TYPE_Private service staff,1.8000000000000003
OCCUPATION_TYPE_Realty agents,0.30000000000000004
OCCUPATION_TYPE_Sales staff,32.9
OCCUPATION_TYPE_Secretaries,0.6
OCCUPATION_TYPE_Security staff,1.5
OCCUPATION_TYPE_Unemployed,16.5
OCCUPATION_TYPE_Waiters/barmen staff,1.2
WEEKDAY_APPR_PROCESS_START_FRIDAY,12.4
WEEKDAY_APPR_PROCESS_START_MONDAY,25.999999999999996
WEEKDAY_APPR_PROCESS_START_SATURDAY,14.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,9.200000000000001
WEEKDAY_APPR_PROCESS_START_THURSDAY,4.7
WEEKDAY_APPR_PROCESS_START_TUESDAY,41.099999999999994
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,30.7
ORGANIZATION_TYPE_Advertising,0.4
ORGANIZATION_TYPE_Agriculture,0.7
ORGANIZATION_TYPE_Bank,2.3000000000000003
ORGANIZATION_TYPE_Business Entity Type 1,2.8000000000000003
ORGANIZATION_TYPE_Business Entity Type 2,1.3
ORGANIZATION_TYPE_Business Entity Type 3,58.400000000000006
ORGANIZATION_TYPE_Cleaning,0.5
ORGANIZATION_TYPE_Construction,36.400000000000006
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.1
ORGANIZATION_TYPE_Emergency,0.1
ORGANIZATION_TYPE_Government,2.0
ORGANIZATION_TYPE_Hotel,0.9999999999999999
ORGANIZATION_TYPE_Housing,1.1
ORGANIZATION_TYPE_Industry: type 1,1.3000000000000003
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,2.1
ORGANIZATION_TYPE_Industry: type 12,1.4000000000000004
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,1.7000000000000002
ORGANIZATION_TYPE_Industry: type 4,1.9999999999999998
ORGANIZATION_TYPE_Industry: type 5,0.5
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.4
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,10.799999999999999
ORGANIZATION_TYPE_Insurance,0.6
