feature,importance
0,8430.1
1,8759.8
2,6172.400000000001
3,8027.8
4,7221.799999999999
5,6896.200000000001
6,6885.5
7,4299.5
8,5615.900000000001
9,4366.5
10,4938.2
11,5191.599999999999
12,5564.3
13,6229.7
14,7165.299999999998
15,3776.9
16,4732.400000000001
17,4096.1
18,5715.900000000001
19,6062.799999999999
20,3951.5
21,5805.399999999999
22,8017.999999999999
23,6217.2
24,3990.0
25,6972.4
26,5598.2
27,4935.599999999999
28,5484.7
29,7819.200000000001
30,6036.0
31,6290.099999999999
32,5773.299999999998
33,5201.500000000001
34,4614.8
35,5668.5
36,7644.100000000001
37,5919.8
38,5999.800000000001
39,6009.0
40,6962.4
41,6176.799999999999
42,6551.299999999999
43,5735.1
44,6118.299999999999
45,5800.299999999999
46,5865.1
47,5952.900000000001
48,6684.3
49,6055.7
