feature,importance
NAME_CONTRACT_TYPE,23.9
FLAG_OWN_CAR,37.5
FLAG_OWN_REALTY,1.2
CNT_CHILDREN,1.9000000000000001
AMT_INCOME_TOTAL,25.400000000000002
AMT_CREDIT,112.20000000000002
AMT_ANNUITY,183.1
AMT_GOODS_PRICE,148.4
REGION_POPULATION_RELATIVE,73.9
DAYS_BIRTH,212.7
DAYS_EMPLOYED,141.79999999999998
DAYS_REGISTRATION,86.89999999999999
DAYS_ID_PUBLISH,119.8
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.6
FLAG_WORK_PHONE,27.9
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,2.3
FLAG_EMAIL,0.9
CNT_FAM_MEMBERS,4.0
REGION_RATING_CLIENT,3.0999999999999996
REGION_RATING_CLIENT_W_CITY,38.60000000000001
HOUR_APPR_PROCESS_START,23.7
REG_REGION_NOT_LIVE_REGION,0.6
REG_REGION_NOT_WORK_REGION,1.1
LIVE_REGION_NOT_WORK_REGION,0.5
REG_CITY_NOT_LIVE_CITY,21.099999999999998
REG_CITY_NOT_WORK_CITY,2.5000000000000004
LIVE_CITY_NOT_WORK_CITY,1.2000000000000002
EXT_SOURCE_1,401.99999999999994
EXT_SOURCE_2,314.1
EXT_SOURCE_3,308.1
APARTMENTS_AVG,18.7
BASEMENTAREA_AVG,15.4
YEARS_BEGINEXPLUATATION_AVG,20.999999999999996
ELEVATORS_AVG,7.8999999999999995
ENTRANCES_AVG,11.9
FLOORSMAX_AVG,11.899999999999999
LANDAREA_AVG,18.0
LIVINGAREA_AVG,17.300000000000004
NONLIVINGAREA_AVG,16.4
APARTMENTS_MODE,21.1
BASEMENTAREA_MODE,15.2
YEARS_BEGINEXPLUATATION_MODE,25.2
ELEVATORS_MODE,4.5
ENTRANCES_MODE,4.6000000000000005
FLOORSMAX_MODE,6.1
LANDAREA_MODE,17.599999999999998
LIVINGAREA_MODE,21.4
NONLIVINGAREA_MODE,17.4
APARTMENTS_MEDI,12.5
BASEMENTAREA_MEDI,11.099999999999998
YEARS_BEGINEXPLUATATION_MEDI,17.499999999999996
ELEVATORS_MEDI,2.1000000000000005
ENTRANCES_MEDI,5.3
FLOORSMAX_MEDI,4.3
LANDAREA_MEDI,11.0
LIVINGAREA_MEDI,12.099999999999998
NONLIVINGAREA_MEDI,15.299999999999999
TOTALAREA_MODE,31.199999999999996
OBS_30_CNT_SOCIAL_CIRCLE,10.600000000000001
DEF_30_CNT_SOCIAL_CIRCLE,27.599999999999998
OBS_60_CNT_SOCIAL_CIRCLE,8.100000000000001
DEF_60_CNT_SOCIAL_CIRCLE,25.600000000000005
DAYS_LAST_PHONE_CHANGE,82.7
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,23.7
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.1
FLAG_DOCUMENT_6,0.7
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,2.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,3.7
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,10.1
FLAG_DOCUMENT_14,1.8000000000000003
FLAG_DOCUMENT_15,0.6
FLAG_DOCUMENT_16,14.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,15.4
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
AMT_REQ_CREDIT_BUREAU_DAY,1.6
AMT_REQ_CREDIT_BUREAU_WEEK,4.9
AMT_REQ_CREDIT_BUREAU_MON,7.3999999999999995
AMT_REQ_CREDIT_BUREAU_QRT,22.3
AMT_REQ_CREDIT_BUREAU_YEAR,8.600000000000001
CREDIT/INCOME,99.2
GOODS/CREDIT,160.5
BIRTH-EMPLOYED,100.5
FAMMEMB/INCOME,32.9
CLIENTREG/INCOME,24.7
CITYREG/INCOME,39.199999999999996
CODE_GENDER_F,51.199999999999996
CODE_GENDER_M,34.6
NAME_TYPE_SUITE_Children,0.7
NAME_TYPE_SUITE_Family,0.8999999999999999
NAME_TYPE_SUITE_Group of people,0.0
NAME_TYPE_SUITE_Other_A,0.1
NAME_TYPE_SUITE_Other_B,0.1
"NAME_TYPE_SUITE_Spouse, partner",1.7000000000000002
NAME_TYPE_SUITE_Unaccompanied,1.6000000000000003
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,2.5
NAME_INCOME_TYPE_Pensioner,3.2
NAME_INCOME_TYPE_State servant,9.6
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,1.9
NAME_INCOME_TYPE_Working,23.8
NAME_EDUCATION_TYPE_Academic degree,3.5000000000000004
NAME_EDUCATION_TYPE_Higher education,40.8
NAME_EDUCATION_TYPE_Incomplete higher,0.8
NAME_EDUCATION_TYPE_Lower secondary,0.8
NAME_EDUCATION_TYPE_Secondary / secondary special,22.0
NAME_FAMILY_STATUS_Civil marriage,3.7000000000000006
NAME_FAMILY_STATUS_Married,46.9
NAME_FAMILY_STATUS_Separated,1.3000000000000003
NAME_FAMILY_STATUS_Single / not married,3.4999999999999996
NAME_FAMILY_STATUS_Widow,2.1
NAME_HOUSING_TYPE_Co-op apartment,0.0
NAME_HOUSING_TYPE_House / apartment,3.9999999999999996
NAME_HOUSING_TYPE_Municipal apartment,2.5000000000000004
NAME_HOUSING_TYPE_Office apartment,2.0
NAME_HOUSING_TYPE_Rented apartment,0.6
NAME_HOUSING_TYPE_With parents,0.6
OCCUPATION_TYPE_Accountants,4.8
OCCUPATION_TYPE_Cleaning staff,1.2
OCCUPATION_TYPE_Cooking staff,0.0
OCCUPATION_TYPE_Core staff,19.700000000000003
OCCUPATION_TYPE_Drivers,10.200000000000001
OCCUPATION_TYPE_HR staff,0.0
OCCUPATION_TYPE_High skill tech staff,5.0
OCCUPATION_TYPE_IT staff,0.0
OCCUPATION_TYPE_Laborers,6.200000000000001
OCCUPATION_TYPE_Low-skill Laborers,0.8999999999999999
OCCUPATION_TYPE_Managers,0.7999999999999999
OCCUPATION_TYPE_Medicine staff,5.7
OCCUPATION_TYPE_Not_Answered,2.4000000000000004
OCCUPATION_TYPE_Private service staff,0.4
OCCUPATION_TYPE_Realty agents,0.0
OCCUPATION_TYPE_Sales staff,5.0
OCCUPATION_TYPE_Secretaries,0.0
OCCUPATION_TYPE_Security staff,0.30000000000000004
OCCUPATION_TYPE_Unemployed,0.0
OCCUPATION_TYPE_Waiters/barmen staff,0.1
WEEKDAY_APPR_PROCESS_START_FRIDAY,1.7000000000000002
WEEKDAY_APPR_PROCESS_START_MONDAY,3.8999999999999995
WEEKDAY_APPR_PROCESS_START_SATURDAY,3.0999999999999996
WEEKDAY_APPR_PROCESS_START_SUNDAY,1.7000000000000002
WEEKDAY_APPR_PROCESS_START_THURSDAY,1.2
WEEKDAY_APPR_PROCESS_START_TUESDAY,1.5
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1.3
ORGANIZATION_TYPE_Advertising,0.0
ORGANIZATION_TYPE_Agriculture,0.0
ORGANIZATION_TYPE_Bank,5.399999999999999
ORGANIZATION_TYPE_Business Entity Type 1,0.4
ORGANIZATION_TYPE_Business Entity Type 2,0.2
ORGANIZATION_TYPE_Business Entity Type 3,8.999999999999998
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,12.2
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,2.1
ORGANIZATION_TYPE_Hotel,0.7
ORGANIZATION_TYPE_Housing,0.2
ORGANIZATION_TYPE_Industry: type 1,0.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.1
ORGANIZATION_TYPE_Industry: type 12,0.30000000000000004
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Industry: type 3,0.0
ORGANIZATION_TYPE_Industry: type 4,0.0
ORGANIZATION_TYPE_Industry: type 5,0.30000000000000004
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.30000000000000004
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,12.600000000000001
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Kindergarten,4.1
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Medicine,2.3000000000000003
ORGANIZATION_TYPE_Military,12.999999999999998
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,0.5
ORGANIZATION_TYPE_Police,3.6
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Realtor,7.7
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,0.6000000000000001
ORGANIZATION_TYPE_School,9.0
ORGANIZATION_TYPE_Security,0.2
ORGANIZATION_TYPE_Security Ministries,5.5
ORGANIZATION_TYPE_Self-employed,15.899999999999999
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Telecom,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
ORGANIZATION_TYPE_Trade: type 2,1.0
ORGANIZATION_TYPE_Trade: type 3,0.2
ORGANIZATION_TYPE_Trade: type 4,0.1
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,0.30000000000000004
ORGANIZATION_TYPE_Trade: type 7,1.2000000000000002
ORGANIZATION_TYPE_Transport: type 1,0.1
ORGANIZATION_TYPE_Transport: type 2,0.2
ORGANIZATION_TYPE_Transport: type 3,9.9
ORGANIZATION_TYPE_Transport: type 4,1.6999999999999997
ORGANIZATION_TYPE_University,0.0
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,0.7
FONDKAPREMONT_MODE_org spec account,0.30000000000000004
FONDKAPREMONT_MODE_reg oper account,1.2
FONDKAPREMONT_MODE_reg oper spec account,1.2
HOUSETYPE_MODE_block of flats,0.0
HOUSETYPE_MODE_specific housing,0.30000000000000004
HOUSETYPE_MODE_terraced house,0.0
WALLSMATERIAL_MODE_Block,0.2
WALLSMATERIAL_MODE_Mixed,0.1
WALLSMATERIAL_MODE_Monolithic,0.2
WALLSMATERIAL_MODE_Others,0.5
WALLSMATERIAL_MODE_Panel,3.599999999999999
"WALLSMATERIAL_MODE_Stone, brick",5.1000000000000005
WALLSMATERIAL_MODE_Wooden,0.0
EMERGENCYSTATE_MODE_No,0.0
EMERGENCYSTATE_MODE_Yes,0.4
OWN_CAR_AGE_CATEGORY_very-new,15.2
OWN_CAR_AGE_CATEGORY_new,20.2
OWN_CAR_AGE_CATEGORY_old,1.8000000000000003
OWN_CAR_AGE_CATEGORY_very-old,1.6
OWN_CAR_AGE_CATEGORY_antique,0.2
OWN_CAR_AGE_CATEGORY_not-have,3.1
bureau_DAYS_CREDIT_count,7.6000000000000005
bureau_DAYS_CREDIT_mean,53.4
bureau_DAYS_CREDIT_max,112.89999999999999
bureau_DAYS_CREDIT_min,29.099999999999998
bureau_DAYS_CREDIT_var,41.199999999999996
bureau_DAYS_CREDIT_sum,31.9
bureau_CREDIT_DAY_OVERDUE_mean,0.30000000000000004
bureau_CREDIT_DAY_OVERDUE_max,1.5000000000000002
bureau_CREDIT_DAY_OVERDUE_min,0.0
bureau_DAYS_CREDIT_ENDDATE_mean,38.7
bureau_DAYS_CREDIT_ENDDATE_max,104.99999999999999
bureau_DAYS_CREDIT_ENDDATE_min,25.4
bureau_DAYS_CREDIT_ENDDATE_var,53.5
bureau_DAYS_CREDIT_ENDDATE_sum,44.699999999999996
bureau_DAYS_ENDDATE_FACT_count,8.6
bureau_DAYS_ENDDATE_FACT_mean,37.4
bureau_DAYS_ENDDATE_FACT_max,86.10000000000001
bureau_DAYS_ENDDATE_FACT_min,28.5
bureau_DAYS_ENDDATE_FACT_var,47.800000000000004
bureau_DAYS_ENDDATE_FACT_sum,15.9
bureau_CNT_CREDIT_PROLONG_mean,1.9999999999999998
bureau_CNT_CREDIT_PROLONG_max,3.3000000000000003
bureau_CNT_CREDIT_PROLONG_min,0.0
bureau_CNT_CREDIT_PROLONG_var,2.4000000000000004
bureau_AMT_CREDIT_SUM_mean,57.99999999999999
bureau_AMT_CREDIT_SUM_max,45.2
bureau_AMT_CREDIT_SUM_min,58.80000000000001
bureau_AMT_CREDIT_SUM_var,43.8
bureau_AMT_CREDIT_SUM_sum,38.3
bureau_AMT_CREDIT_SUM_DEBT_mean,80.2
bureau_AMT_CREDIT_SUM_DEBT_max,34.6
bureau_AMT_CREDIT_SUM_DEBT_min,22.200000000000003
bureau_AMT_CREDIT_SUM_DEBT_var,55.699999999999996
bureau_AMT_CREDIT_SUM_LIMIT_count,9.7
bureau_AMT_CREDIT_SUM_LIMIT_mean,36.699999999999996
bureau_AMT_CREDIT_SUM_LIMIT_max,24.099999999999994
bureau_AMT_CREDIT_SUM_LIMIT_min,8.2
bureau_AMT_CREDIT_SUM_LIMIT_var,38.800000000000004
bureau_AMT_CREDIT_SUM_OVERDUE_mean,9.7
bureau_AMT_CREDIT_SUM_OVERDUE_max,11.799999999999999
bureau_AMT_CREDIT_SUM_OVERDUE_min,0.0
bureau_AMT_CREDIT_SUM_OVERDUE_var,8.3
bureau_DAYS_CREDIT_UPDATE_mean,33.2
bureau_DAYS_CREDIT_UPDATE_max,41.900000000000006
bureau_DAYS_CREDIT_UPDATE_min,19.3
bureau_DAYS_CREDIT_UPDATE_var,40.0
bureau_DAYS_CREDIT_UPDATE_sum,19.4
bureau_CREDIT_ACTIVE_Active_count,44.9
bureau_CREDIT_ACTIVE_Active_count_norm,28.699999999999996
bureau_CREDIT_ACTIVE_Bad debt_count,0.0
bureau_CREDIT_ACTIVE_Bad debt_count_norm,0.0
bureau_CREDIT_ACTIVE_Sold_count,0.0
bureau_CREDIT_ACTIVE_Sold_count_norm,12.200000000000001
bureau_CREDIT_TYPE_Another type of loan_count,0.0
bureau_CREDIT_TYPE_Another type of loan_count_norm,2.6
bureau_CREDIT_TYPE_Car loan_count,4.3
bureau_CREDIT_TYPE_Car loan_count_norm,22.9
bureau_CREDIT_TYPE_Cash loan (non-earmarked)_count,0.0
bureau_CREDIT_TYPE_Cash loan (non-earmarked)_count_norm,0.0
bureau_CREDIT_TYPE_Consumer credit_count,7.500000000000002
bureau_CREDIT_TYPE_Consumer credit_count_norm,14.5
bureau_CREDIT_TYPE_Credit card_count,11.2
bureau_CREDIT_TYPE_Credit card_count_norm,11.6
bureau_CREDIT_TYPE_Interbank credit_count,0.0
bureau_CREDIT_TYPE_Loan for business development_count,0.1
bureau_CREDIT_TYPE_Loan for business development_count_norm,0.2
bureau_CREDIT_TYPE_Loan for purchase of shares (margin lending)_count,0.0
bureau_CREDIT_TYPE_Loan for purchase of shares (margin lending)_count_norm,0.0
bureau_CREDIT_TYPE_Loan for the purchase of equipment_count,0.0
bureau_CREDIT_TYPE_Loan for the purchase of equipment_count_norm,0.0
bureau_CREDIT_TYPE_Loan for working capital replenishment_count,0.0
bureau_CREDIT_TYPE_Loan for working capital replenishment_count_norm,0.3
bureau_CREDIT_TYPE_Microloan_count,9.299999999999999
bureau_CREDIT_TYPE_Microloan_count_norm,22.200000000000003
bureau_CREDIT_TYPE_Mobile operator loan_count,0.0
bureau_CREDIT_TYPE_Mortgage_count,5.300000000000001
bureau_CREDIT_TYPE_Mortgage_count_norm,34.8
bureau_CREDIT_TYPE_Real estate loan_count,0.0
bureau_CREDIT_TYPE_Real estate loan_count_norm,0.0
bureau_CREDIT_TYPE_Unknown type of loan_count,0.0
bureau_CREDIT_TYPE_Unknown type of loan_count_norm,0.0
previous_AMT_ANNUITY_count,2.8000000000000003
previous_AMT_ANNUITY_mean,59.900000000000006
previous_AMT_ANNUITY_max,32.400000000000006
previous_AMT_ANNUITY_min,13.6
previous_AMT_ANNUITY_var,34.599999999999994
previous_AMT_ANNUITY_sum,26.8
previous_AMT_APPLICATION_mean,22.0
previous_AMT_APPLICATION_max,23.4
previous_AMT_APPLICATION_min,13.699999999999998
previous_AMT_APPLICATION_var,27.300000000000004
previous_AMT_APPLICATION_sum,16.700000000000003
previous_AMT_DOWN_PAYMENT_count,3.1
previous_AMT_DOWN_PAYMENT_mean,26.9
previous_AMT_DOWN_PAYMENT_max,27.8
previous_AMT_DOWN_PAYMENT_min,12.1
previous_AMT_DOWN_PAYMENT_var,42.7
previous_AMT_DOWN_PAYMENT_sum,46.1
previous_HOUR_APPR_PROCESS_START_mean,40.300000000000004
previous_HOUR_APPR_PROCESS_START_max,14.4
previous_HOUR_APPR_PROCESS_START_min,11.4
previous_HOUR_APPR_PROCESS_START_var,46.10000000000001
previous_RATE_DOWN_PAYMENT_mean,22.300000000000004
previous_RATE_DOWN_PAYMENT_max,25.3
previous_RATE_DOWN_PAYMENT_min,11.999999999999998
previous_RATE_DOWN_PAYMENT_var,28.599999999999998
previous_RATE_DOWN_PAYMENT_sum,18.3
previous_DAYS_DECISION_mean,25.9
previous_DAYS_DECISION_max,41.1
previous_DAYS_DECISION_min,23.9
