feature,importance
NAME_CONTRACT_TYPE,20.0
FLAG_OWN_CAR,32.6
FLAG_OWN_REALTY,4.2
CNT_CHILDREN,8.100000000000001
AMT_INCOME_TOTAL,49.099999999999994
AMT_CREDIT,126.6
AMT_ANNUITY,216.1
AMT_GOODS_PRICE,126.09999999999998
REGION_POPULATION_RELATIVE,111.60000000000001
DAYS_BIRTH,185.79999999999998
DAYS_EMPLOYED,176.8
DAYS_REGISTRATION,134.6
DAYS_ID_PUBLISH,156.70000000000002
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.1
FLAG_WORK_PHONE,29.900000000000006
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,4.9
FLAG_EMAIL,2.9000000000000004
CNT_FAM_MEMBERS,12.3
REGION_RATING_CLIENT,6.3999999999999995
REGION_RATING_CLIENT_W_CITY,27.7
HOUR_APPR_PROCESS_START,43.599999999999994
REG_REGION_NOT_LIVE_REGION,0.5
REG_REGION_NOT_WORK_REGION,1.4000000000000001
LIVE_REGION_NOT_WORK_REGION,1.3
REG_CITY_NOT_LIVE_CITY,24.400000000000002
REG_CITY_NOT_WORK_CITY,7.3
LIVE_CITY_NOT_WORK_CITY,1.6
EXT_SOURCE_1,327.29999999999995
EXT_SOURCE_2,316.9
EXT_SOURCE_3,274.8
APARTMENTS_AVG,17.8
BASEMENTAREA_AVG,22.400000000000006
YEARS_BEGINEXPLUATATION_AVG,30.200000000000003
ELEVATORS_AVG,7.799999999999999
ENTRANCES_AVG,16.700000000000003
FLOORSMAX_AVG,15.0
LANDAREA_AVG,28.799999999999997
LIVINGAREA_AVG,20.7
NONLIVINGAREA_AVG,17.9
APARTMENTS_MODE,26.60000000000001
BASEMENTAREA_MODE,24.0
YEARS_BEGINEXPLUATATION_MODE,28.4
ELEVATORS_MODE,5.3999999999999995
ENTRANCES_MODE,9.400000000000002
FLOORSMAX_MODE,3.8999999999999995
LANDAREA_MODE,19.799999999999997
LIVINGAREA_MODE,26.5
NONLIVINGAREA_MODE,16.1
APARTMENTS_MEDI,8.6
BASEMENTAREA_MEDI,11.399999999999999
YEARS_BEGINEXPLUATATION_MEDI,13.9
ELEVATORS_MEDI,1.9
ENTRANCES_MEDI,4.2
FLOORSMAX_MEDI,3.5000000000000004
LANDAREA_MEDI,11.0
LIVINGAREA_MEDI,11.200000000000001
NONLIVINGAREA_MEDI,9.9
TOTALAREA_MODE,37.699999999999996
OBS_30_CNT_SOCIAL_CIRCLE,21.3
DEF_30_CNT_SOCIAL_CIRCLE,18.7
OBS_60_CNT_SOCIAL_CIRCLE,11.5
DEF_60_CNT_SOCIAL_CIRCLE,23.900000000000002
DAYS_LAST_PHONE_CHANGE,125.5
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,21.099999999999998
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.1
FLAG_DOCUMENT_6,0.5
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.7000000000000001
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,4.8
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,4.1
FLAG_DOCUMENT_14,4.700000000000001
FLAG_DOCUMENT_15,4.5
FLAG_DOCUMENT_16,11.399999999999999
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,3.9
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.2
AMT_REQ_CREDIT_BUREAU_DAY,0.7999999999999999
AMT_REQ_CREDIT_BUREAU_WEEK,5.8
AMT_REQ_CREDIT_BUREAU_MON,4.500000000000001
AMT_REQ_CREDIT_BUREAU_QRT,31.2
AMT_REQ_CREDIT_BUREAU_YEAR,14.5
CREDIT/INCOME,131.70000000000002
GOODS/CREDIT,182.49999999999997
BIRTH-EMPLOYED,140.2
FAMMEMB/INCOME,80.89999999999999
CLIENTREG/INCOME,45.3
CITYREG/INCOME,55.60000000000001
CODE_GENDER_F,81.3
CODE_GENDER_M,0.6
NAME_TYPE_SUITE_Children,0.1
NAME_TYPE_SUITE_Family,5.0
